day,low,high,open,close,volume
2021-02-16,48942.87,52640.35,49141.43,52170.01,25675.171441
2021-02-15,47051.22,50645.0,47935.66,49158.71,23053.20561135
2021-02-14,45768.46,49093.44,48667.23,47936.37,19432.15278111
2021-02-13,47100.13,49700.0,47240.75,48680.69,15146.55244091
2021-02-12,46300.0,48199.0,47408.34,47232.45,12020.8773325
2021-02-11,46300.0,48912.0,47993.6,47408.34,23503.15583529
2021-02-10,44011.0,48690.0,44850.0,47997.91,26222.60477552
2021-02-09,43706.86,47349.99,46514.73,44850.0,25818.01157857
2021-02-08,45020.0,48200.0,46453.66,46514.73,36418.79365116
2021-02-07,38057.01,46750.0,38871.43,46448.1,47934.0103883
2021-02-06,37371.35,39737.83,39266.1,38871.42,20297.87256102
2021-02-05,38250.0,41000.0,38327.09,39265.43,27102.80602941
2021-02-04,36605.87,38349.0,36976.59,38311.49,17842.70173175
2021-02-03,36156.45,38769.0,37688.42,36975.0,31699.36292316
2021-02-02,35393.8,37723.72,35513.0,37678.37,23781.96945181
2021-02-01,33450.0,36000.0,33534.39,35512.67,19995.83908338
2021-01-31,32333.0,34728.57,33137.75,33533.19,21975.41378272
2021-01-30,32200.0,34387.75,34315.63,33137.74,16436.39757593
2021-01-29,32852.86,34900.0,34262.11,34315.63,21362.15173754
2021-01-28,31990.0,38570.13,33487.92,34262.11,72641.07974951
2021-01-27,29902.14,34000.0,30414.11,33488.99,36007.06269488
2021-01-26,29156.0,32584.62,32510.82,30407.13,46207.08537355
2021-01-25,30830.0,32960.37,32260.52,32510.82,23535.83891688
2021-01-24,31920.8,34888.0,32293.18,32261.87,23045.66293389
2021-01-23,30931.21,33086.53,32110.0,32288.56,13618.80097809
2021-01-22,31432.19,33488.79,32982.66,32112.01,16139.81478284
2021-01-21,28732.0,33867.0,30855.9,32984.93,48155.72161708
2021-01-20,30011.0,35628.24,35498.85,30855.95,50473.11375071
2021-01-19,33387.01,36415.34,35921.91,35503.09,25445.70800774
2021-01-18,35895.11,37857.0,36624.23,35917.28,18904.77910604
2021-01-17,34736.46,37402.0,35820.01,36624.23,16609.64108414
2021-01-16,33850.03,36860.0,36004.8,35820.0,19182.04934663
2021-01-15,35372.59,37948.0,36754.6,36006.94,20861.42545209
2021-01-14,34298.93,39697.0,39123.05,36754.67,36421.05918785
2021-01-13,36751.11,40127.66,37393.67,39125.14,31868.76049365
2021-01-12,32309.04,37888.0,34035.53,37393.66,39608.73718747
2021-01-11,32500.0,36604.51,35456.89,34038.98,48227.62752035
2021-01-10,30100.0,38273.88,38168.89,35452.59,102503.15672849
2021-01-09,34444.0,41452.12,40257.43,38171.57,43736.57031589
2021-01-08,38800.0,41406.94,40642.15,40257.43,27152.97102881
2021-01-07,36565.08,41986.37,39510.55,40665.15,48522.48490272
2021-01-06,36200.0,40425.0,36859.26,39505.56,50346.30569052
2021-01-05,33352.54,37000.0,34043.91,36859.26,45744.10320015
2021-01-04,29891.13,34499.67,32020.22,34030.64,42282.56920027
2021-01-03,27678.0,33666.99,33082.84,32019.99,46045.38968508
2021-01-02,32008.62,34810.0,32222.88,33080.66,36951.71650628
2021-01-01,29039.0,33300.0,29413.29,32225.91,46675.24652146
2020-12-31,28700.0,29688.88,28990.08,29412.84,22211.25251806
2020-12-30,28000.0,29321.9,28897.42,28990.08,28813.88691084
2020-12-29,27311.73,29018.26,27366.35,28897.42,28181.49681491
2020-12-28,25833.73,27396.77,27039.39,27366.35,20668.10433798
2020-12-27,26086.19,27477.0,26255.16,27040.36,21265.70934972
2020-12-26,25772.55,28387.0,26482.64,26258.65,33627.00745897
2020-12-25,24490.01,26822.0,24704.71,26475.35,24782.44015598
2020-12-24,23416.0,24770.95,23718.61,24704.71,15792.47583445
2020-12-23,22712.89,23785.0,23226.18,23717.96,16440.75295146
2020-12-22,22600.0,24090.0,23824.13,23228.35,23412.12172023
2020-12-21,22380.05,23839.78,22729.4,23823.27,18597.6512303
2020-12-20,21913.84,24118.75,23476.51,22729.4,25728.63855953
2020-12-19,23100.0,24300.0,23850.0,23476.51,14963.41787144
2020-12-18,22770.0,24200.0,23138.89,23849.99,20577.66441198
2020-12-17,22329.0,23280.0,22826.37,23137.76,24829.23581848
2020-12-16,21252.01,23776.94,21360.5,22826.48,53602.34952384
2020-12-15,19300.0,21569.94,19443.19,21359.65,33350.23500216
2020-12-14,19051.27,19565.0,19272.37,19444.6,15345.21212651
2020-12-13,18967.68,19349.98,19166.65,19272.37,9102.36972564
2020-12-12,18730.0,19421.03,18821.28,19166.65,10624.20069187
2020-12-11,18023.57,18955.34,18044.19,18821.28,8616.1725039
2020-12-10,17580.0,18293.08,18257.18,18042.15,16953.63356031
2020-12-09,17905.0,18556.42,18546.55,18253.44,14899.20296937
2020-12-08,17639.0,18647.33,18316.22,18546.55,20667.36635634
2020-12-07,18200.0,19299.51,19177.08,18316.22,15161.86263318
2020-12-06,18901.0,19432.57,19375.6,19177.71,8977.45166263
2020-12-05,18878.0,19430.25,19158.96,19375.6,6665.28189472
2022-07-27,22580.86,24206.11,22960.74,23851.7,25681.25351287
2022-07-26,21045.73,23110.73,21260.22,22962.59,24206.7301153
2022-07-25,20715.0,21344.43,21312.06,21261.57,19333.35688939
2022-07-24,21254.97,22665.74,22583.37,21313.41,22277.31378773
2022-07-23,22263.85,23036.46,22451.36,22583.43,9132.96152481
